FileName,lrs-long64-safe.js,lrs-long128-safe.js,lrs-gmp.js,hybrid-gmp.js
c30-15.ext,0.001,0.002,161.051,157.692
fq48-19lrs.ine,82.804,286.239,189.721,83.191
vf900.ext,0.004,105.231,101.506,105.401
