FileName,lrs-long64-safe.js,lrs-long128-safe.js,lrs-gmp.js,hybrid-gmp.js
c30-15.ext,0.001,0.001,156.345,158.145
fq48-19lrs.ine,82.294,286.869,192.361,83.366
vf900.ext,0.007,106.039,101.682,104.757
