FileName,lrs-long64-safe.js,lrs-long128-safe.js,lrs-gmp.js,lrs-minigmp.js,hybrid-gmp.js,hybrid-minigmp.js,lrs-long64-unsafe.js,lrs-long128-unsafe.js
fq48-19lrs.ine,342604.90000000596,936820.5,1467691.100000009,2709138.899999976,349815.799999997,361739,331921.299999997,845026.3000000119
vf900.ext,11.399999976158142,361721.7999999821,826302.7000000179,1992629.3999999762,333413.7999999821,335815.39999997616,19.80000001192093,305229.90000000596
mit.ine,239.69999998807907,1720302.199999988,3464537.199999988,9558138.5,1661567.2000000179,1766973.6000000238,545937.400000006,1525193.099999994
c30-15.ext,O,O,924905.8000000119,1188492.6000000238,1005696.5,1245522.2999999523,O,O
