FileName,hybrid-gmp,lrs-gmp,lrs-long128-safe,lrs-long128-unsafe,lrs-long64-safe,lrs-long64-unsafe,hybrid-minigmp,lrs-minigmp
c30-15c.ext,,,,,,,,
c30-15.ext,23.044683808200137,23.323866015352408,,,,,8.854254254254254,8.961851332398318
fq48-19lrs.ine,3.622420193021529,3.0519128627511356,5.394948887552616,6.120170523751523,3.638,3.544805680119581,3.5888073394495414,3.9365806805708012
perm10c.ine,,,,,,,,
perm10.ine,,2.530272505044871,6.848573461642721,,4.80902723122934,,,
vf900.ext,7.129614767255216,5.638699464198734,7.232408163265306,9.335159817351599,,,7.053668261562999,5.942077230359521
