FileName,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,125.21790000000001,349.49809999999997,432.4355,808.8933000000001,124.7965,126.01380000000005,123.44120000000018,309.8303999999999
vf900.ext,O,280.1683999999999,724.6953000000003,1641.6997999999999,278.4050999999996,280.52240000000035,O,259.59139999999945
c30-15.ext,O,O,821.3772000000001,1023.7157000000011,837.3118000000007,1018.9524000000004,O,O
perm10.ine,1722.4398,5323.9938999999995,9508.7575,O,O,O,O,O
