FileName,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,515.293,1619.599,2099.291,4113.252,522.67,533.234,512.114,1384.151
vf900.ext,O,566.906,1357.184,2834.457,553.659,573.859,O,500.842
c30-15.ext,O,O,428.389,550.032,434.049,556.997,O,O
perm10.ine,836.68,2565.8,4149.855,O,O,O,O,O
