FileName,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,377966.200000003,862526.3000000119,1541013.899999991,2708346.399999991,357794.90000000596,327985.3000000119,310643.59999999404,800307.900000006
vf900.ext,11.799999997019768,307799.10000000894,801254.299999997,1796946.5,306665.39999999106,299776.5,19.299999997019768,289443.200000003
mit.ine,235,1444660.599999994,3265749.700000003,8468269.700000003,1545294.5,1550979.799999997,536627.1000000089,1420616.699999988
