FileName,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,377.96620000000297,862.5263000000119,1541.013899999991,2708.3463999999913,357.794900000006,327.98530000001193,310.643599999994,800.3079000000059
vf900.ext,O,307.79910000000893,801.254299999997,1796.9465,306.66539999999105,299.7765,0.019299999997019767,289.443200000003
mit.ine,O,1444.660599999994,3265.749700000003,8468.269700000003,1545.2945,1550.979799999997,536.6271000000089,1420.616699999988
c30-15.ext,O,O,966.0694000000358,1191.4519000000358,948.9736000000238,1265.8105,O,O
