FileName,lrs-long64-safe.js,lrs-long128-safe.js,lrs-gmp.js,lrs-minigmp.js,hybrid-gmp.js,hybrid-minigmp.js,lrs-long64-unsafe.js,lrs-long128-unsafe.js
fq48-19lrs.ine,327.8648999999999,853.5537999999998,1383.8168999999998,2777.3009,320.73460000000057,317.4169000000004,307.8080999999996,786.3228999999994
vf900.ext,O,298.6625,769.7790999999996,1788.1606999999992,299.2464000000004,301.8044000000004,O,278.58469999999926
c30-15.ext,O,O,349.7835,479.18619999999993,342.57180000000005,477.1747000000002,O,O
perm10.ine,768.2868999999985,2389.3631999999993,3212.3015,O,O,O,O,O
