Input,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,-229.63889999999992,-584.3997999999998,-987.3428999999999,-1916.6069000000002,-223.14660000000057,-219.62190000000038,-212.94909999999965,-535.0898999999995
vf900.ext,Overflow,-210.06550000000004,-538.2540999999997,-1208.0356999999992,-210.4114000000004,-213.35140000000038,Overflow,-196.80869999999925
c30-15.ext,Overflow,Overflow,-15.552500000000009,-31.900199999999927,-10.958800000000053,-34.90470000000022,Overflow,Overflow
perm10.ine,-157.2518999999985,-368.21219999999926,-127.74749999999995,Overflow,Overflow,Overflow,Overflow,Overflow
