Input,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,202.6469999999999,504.05569999999983,951.3813999999998,1968.4076,195.9381000000006,191.40310000000034,184.36689999999945,476.49249999999955
vf900.ext,Overflow,18.494100000000117,45.083799999999314,146.46089999999936,20.841300000000786,21.28200000000004,Overflow,18.993299999999806
c30-15.ext,Overflow,Overflow,-471.5937000000001,-544.5295000000012,-494.7400000000007,-541.7777000000001,Overflow,Overflow
perm10.ine,-954.1529000000016,-2934.6307,-6296.456,Overflow,Overflow,Overflow,Overflow,Overflow
