Input,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,390.0751,1270.1009,1666.8555000000001,3304.3587,397.8735,407.2202,388.6727999999998,1074.3206000000002
vf900.ext,Overflow,286.73760000000004,632.4886999999997,1192.7572,275.2539000000004,293.3365999999997,Overflow,241.25060000000053
c30-15.ext,Overflow,Overflow,-392.9882000000001,-473.68370000000107,-403.26280000000077,-461.9554000000004,Overflow,Overflow
perm10.ine,-885.7598000000002,-2758.1938999999993,-5358.9025,Overflow,Overflow,Overflow,Overflow,Overflow
