Input,lrs-long64-safe,lrs-long128-safe,lrs-gmp,lrs-minigmp,hybrid-gmp,hybrid-minigmp,lrs-long64-unsafe,lrs-long128-unsafe
fq48-19lrs.ine,-417.067,-1350.445,-1702.8170000000002,-3252.5580000000004,-425.082,-435.439,-417.25500000000005,-1132.9180000000001
vf900.ext,Overflow,-478.30899999999997,-1125.6589999999999,-2254.332,-464.824,-485.40600000000006,Overflow,-419.066
c30-15.ext,Overflow,Overflow,-94.15800000000002,-102.74600000000004,-102.43599999999998,-114.72699999999998,Overflow,Overflow
perm10.ine,-225.64499999999998,-544.6490000000001,-1065.3009999999995,Overflow,Overflow,Overflow,Overflow,Overflow
